tAI_full	flag_Kon	protein_synthesis_rate	real_protein_synthesis_per_mrna	AvgExp_Steinmetz	AvgmRNA_percell_Holstege	Gene	AVGEXP_YPD	DM_YPD	tAI_full	AvgExp_Steinmetz	DM_Steinmetz	Kon	real_protein_synthesis_per_mrna	
I1TLE	Intermediate1	NA	NA	High.mRNA	Int2.mRNA	AAH1	554	3.414	0.417654259983026	4.627	0.02	6.105	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	Low.mRNA	AAT1	102	1.207	0.35053116692533	1.732	-0.006	2.137	NA	
I2TLE	Low	NA	NA	Low.mRNA	Int1.mRNA	ABD1	75	-1.752	0.378839812808496	0.68	0.14	1.445	NA	
I2TLE	Low	IntProtSyn	HighProtSyn.mRNA	Low.mRNA	Int1.mRNA	ABF1	325.5	0.599	0.378851372447918	0.475	0.032	0.85	0.145	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	Int2.mRNA	ABF2	583	12.691	0.426567073627255	5.366	-0.024	8.71	0.161	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	NA	ABP1	1065	1.919	0.437305683715254	2.372	-0.03	2.063	0.37	
HighTLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	High.mRNA	NA	ABP140	676	-0.432	0.448619256528962	5.416	-0.031	10.721	0.039	
LowTLE	Low	NA	NA	Low.mRNA	Int1.mRNA	ABZ1	69	-3.415	0.345567331551645	0.85	0.228	1.281	NA	
HighTLE	NA	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	ACB1	2208	0.459	0.502685848933014	26.099	-0.066	NA	0.144	
HighTLE	Intermediate1	NA	NA	High.mRNA	Int2.mRNA	ACC1	1573.5	1.147	0.469834178679094	6.786	0.028	6.582	NA	
LowTLE	High	LowProtSyn	LowProtSyn.mRNA	Low.mRNA	NA	ACF4	67.5	-0.432	0.321368596505424	0.461	-0.187	20.5	0.014	
I1TLE	Low	NA	NA	Int2.mRNA	NA	ACO2	702.5	8.338	0.414982071919265	1.271	0.204	0.646	NA	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	ACP1	891.5	6.561	0.425655188509964	7.705	-0.084	2.243	0.2	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	ACS2	3521	1.31	0.468312934240686	5.044	-0.078	18.442	0.192	
LowTLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	ADA2	59	-2.563	0.338389723639973	0.321	-0.226	7.094	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	ADD37	83	-1.566	0.365127924385383	0.696	0.009	1.98	NA	
LowTLE	High	NA	NA	Int2.mRNA	NA	ADD66	94	2.004	0.30086484680344	1.076	-0.13	58.949	NA	
HighTLE	Intermediate2	NA	NA	High.mRNA	Int2.mRNA	ADE1	1013	4.493	0.436138626066847	4.763	0.115	3.365	NA	
HighTLE	Intermediate2	NA	NA	High.mRNA	Int2.mRNA	ADE12	1235	-2.015	0.470321639356565	7.255	0.011	2.585	NA	
