Round	A1	A2	A3	N1	N2	N3
0	169.984375	138.5362319	110.9166667	77.6779661	30.77966102	19.56896552
1	163.6703297	132.3846154	103.4939759	74.36764706	30.86956522	13.77027027
2	162.8571429	121.8636364	100.4137931	61.53333333	32.20930233	1.347222222
3	157.5944056	125.6225166	95.60621762	61.19512195	30.47272727	8.857142857
4	163.375	127.5444444	101.744186	63.47692308	31.0952381	0.617283951
5	166.0454545	122.4891304	104.6933333	61.26086957	30.6056338	20.70909091
6	166.4571429	134.0147059	104.5609756	61.15555556	30.85185185	14.88
7	164.6071429	131.8058252	102.6129032	61.02083333	30.97826087	11.63157895
8	163.5764706	133.7407407	104.4320988	61.08163265	31.11111111	14.38961039
9	163.7386364	132.6777778	102.28125	60.8490566	31.14583333	11.67391304
10	165.9767442	135.9861111	106.1944444	62.31914894	30.82	13.5443038
